"time","x20"
0,85.8249
0.002,85.8249
0.004,85.8249
0.006,85.8249
0.008,85.8249
0.01,85.8249
0.012,85.8249
0.014,85.8249
0.016,85.8249
0.018,85.8249
0.02,85.8249
0.022,85.8249
0.024,85.8249
0.026,85.8249
0.028,85.8249
0.03,85.8249
0.032,85.8249
0.034,85.8249
0.036,85.8249
0.038,85.8249
0.04,85.8249
0.042,85.8249
0.044,85.8249
0.046,85.8249
0.048,85.8249
0.05,85.8249
0.052,85.8249
0.054,85.8249
0.056,85.8249
0.058,85.8249
0.06,85.8249
0.062,85.8249
0.064,85.8249
0.066,85.8249
0.068,85.8249
0.07,85.8249
0.072,85.8249
0.074,85.8249
0.076,85.8249
0.078,85.8249
0.08,85.8249
0.082,85.8249
0.084,85.8249
0.086,85.8249
0.088,85.8249
0.09,85.8249
0.092,85.8249
0.094,85.8249
0.096,85.8249
0.098,85.8249
0.1,85.8249
0.102,85.8249
0.104,85.8249
0.106,85.8249
0.108,85.8249
0.11,85.8249
0.112,85.8249
0.114,85.8249
0.116,85.8249
0.118,85.8249
0.12,85.8249
0.122,85.8249
0.124,85.8249
0.126,85.8249
0.128,85.8249
0.13,85.8249
0.132,85.8249
0.134,85.8249
0.136,85.8249
0.138,85.8249
0.14,85.8249
0.142,85.8249
0.144,85.8249
0.146,85.8249
0.148,85.8249
0.15,85.8249
0.152,85.8249
0.154,85.8249
0.156,85.8249
0.158,85.8249
0.16,85.8249
0.162,85.8249
0.164,85.8249
0.166,85.8249
0.168,85.8249
0.17,85.8249
0.172,85.8249
0.174,85.8249
0.176,85.8249
0.178,85.8249
0.18,85.8249
0.182,85.8249
0.184,85.8249
0.186,85.8249
0.188,85.8249
0.19,85.8249
0.192,85.8249
0.194,85.8249
0.196,85.8249
0.198,85.8249
0.2,85.8249
0.202,85.8249
0.204,85.8249
0.206,85.8249
0.208,85.8249
0.21,85.8249
0.212,85.8249
0.214,85.8249
0.216,85.8249
0.218,85.8249
0.22,85.8249
0.222,85.8249
0.224,85.8249
0.226,85.8249
0.228,85.8249
0.23,85.8249
0.232,85.8249
0.234,85.8249
0.236,85.8249
0.238,85.8249
0.24,85.8249
0.242,85.8249
0.244,85.8249
0.246,85.8249
0.248,85.8249
0.25,85.8249
0.252,85.8249
0.254,85.8249
0.256,85.8249
0.258,85.8249
0.26,85.8249
0.262,85.8249
0.264,85.8249
0.266,85.8249
0.268,85.8249
0.27,85.8249
0.272,85.8249
0.274,85.8249
0.276,85.8249
0.278,85.8249
0.28,85.8249
0.282,85.8249
0.284,85.8249
0.286,85.8249
0.288,85.8249
0.29,85.8249
0.292,85.8249
0.294,85.8249
0.296,85.8249
0.298,85.8249
0.3,85.8249
0.302,85.8249
0.304,85.8249
0.306,85.8249
0.308,85.8249
0.31,85.8249
0.312,85.8249
0.314,85.8249
0.316,85.8249
0.318,85.8249
0.32,85.8249
0.322,85.8249
0.324,85.8249
0.326,85.8249
0.328,85.8249
0.33,85.8249
0.332,85.8249
0.334,85.8249
0.336,85.8249
0.338,85.8249
0.34,85.8249
0.342,85.8249
0.344,85.8249
0.346,85.8249
0.348,85.8249
0.35,85.8249
0.352,85.8249
0.354,85.8249
0.356,85.8249
0.358,85.8249
0.36,85.8249
0.362,85.8249
0.364,85.8249
0.366,85.8249
0.368,85.8249
0.37,85.8249
